image,fruit,frp,mv,lm,ld,am,ad,bm,bd,chroma,q_ref,i1_ref,i2_ref,i_index_ref,q_pred,i_pred
T0 Gul 2.4 (25-30).JPG,2,0.33880714661061484,0.2579,0.12880289370650222,0.2637683416239086,24.433889104303994,10.15562269825973,22.50484683986041,6.889891483803593,33.21871562909982,2,2,0,1,2,4
T0 Gul 3.2 (9-16).JPG,5,0.3820485990001163,0.3286,0.16284063600427667,0.2853560585609352,17.99756542909312,9.723943451071309,20.778149726110772,4.831149912775667,27.488977198418368,2,1,0,0,2,4
T0 Gul 3.4 (25-30).JPG,5,0.35575221238938054,0.2814,0.14253660660183665,0.2759655442251006,24.43496801705757,10.532543387118599,21.437255599004622,5.735371060285068,32.505747024359884,3,2,0,1,2,4
T0 Gul 5.2 (9-16).JPG,2,0.28232705939868,0.231,0.11471039486436961,0.25246309231625697,18.66103896103896,9.190800819285593,21.143722943722945,5.64736784961521,28.20091124460928,1,1,0,0,2,4
T0 Gul 5.2 (9-16).JPG,3,0.24867463937862164,0.2017,0.09768663140823886,0.23511658904558633,26.693108577094694,10.298543928377963,17.73475458601884,6.693779947598489,32.047520430368444,3,2,0,1,2,5
T0 Gul 6.1 (1-8).JPG,1,0.3142788806505621,0.2628,0.13300434399407976,0.2675723253434304,23.48021308980213,11.508285200893097,24.021689497716896,5.918130042795285,33.59109961086772,2,1,0,0,2,4
T1 A1 (1-8) exp 1.JPG,2,0.3345074699380542,0.2754,0.13964257579597317,0.2717235762949904,27.25199709513435,8.986658270781668,15.846349436977842,4.811144806829802,31.524246797536957,4,4,1,2,2,5
T1 A1 (1-8) exp 1.JPG,3,0.45891008853971815,0.368,0.18695288728391343,0.3018278779948211,27.03125,12.260592206887356,20.526501766784452,6.019068324491788,33.94150484796314,3,3,1,2,3,5
T1 A2 (9-16) exp 1.JPG,2,0.3807183807183807,0.3254,0.16356971961295036,0.28682047951124634,25.85679164105716,7.826390372612093,15.312941899784814,5.21794961650994,30.050954453980804,4,4,1,2,2,3
T1 A2 (9-16) exp 1.JPG,3,0.3429401510749564,0.2951,0.14869031582098488,0.2780950364637379,32.230482009504414,15.584542696234708,21.27211114876313,6.8172766441555845,38.617440144192884,4,3,1,2,2,5
T1 A2 (9-16) exp 1.JPG,5,0.5433309126119583,0.4489,0.22138533802459967,0.3135790932591232,23.010024504343953,12.583254039500746,23.44419692581867,7.856678300982675,32.849529634183114,4,4,1,2,4,2
T1 A2 (9-16) exp 1.JPG,6,0.35656227587855605,0.2983,0.15171983299276265,0.2826014389047314,20.19845792826014,7.987513573256705,16.1552128729467,11.064785546741627,25.86442741778595,4,3,1,2,2,3
T1 A3 (17-25) exp 1.JPG,1,0.7180121152181975,0.5808,0.2902779746436728,0.33048224059443054,23.506370523415978,9.721746556593947,19.957816804407713,7.031666188993659,30.83608124879714,5,4,3,3,5,4
T1 A3 (17-25) exp 1.JPG,2,0.34278505346629823,0.2853,0.14229095953484255,0.27444991036196603,29.924991237294076,10.493767417751798,18.189274447949526,7.237297556368723,35.01934901586488,4,3,1,2,2,5
T1 A3 (17-25) exp 1.JPG,5,0.42977015687705217,0.3534,0.17891321021889198,0.29579595234295747,28.02207130730051,12.662148969900223,23.061703934333426,7.071479065505266,36.29157848187764,4,3,1,2,3,5
T1 A3 (17-25) exp 2.JPG,2,0.600295166646169,0.4881,0.24519049385696814,0.32243135132542033,17.267158369186642,7.407831886653893,21.391723007580413,8.713320117597446,27.491099857583315,4,3,1,2,4,1
T1 D3 (17-25) exp 1.JPG,5,0.5673029858051885,0.4636,0.23041933527127204,0.316292778547459,26.786577470867503,14.877226842805822,21.614754098360656,9.556199858832395,34.41973746755465,4,4,2,3,4,5
T1 E1 (1-9) exp 1.JPG,1,0.39122957867583835,0.3185,0.15889134601208904,0.28387740421842894,28.441444270015698,10.21497852651339,16.54945054945055,6.725720016860637,32.90592751546624,4,4,2,3,3,5
T1 E3 (17-25) exp 2.JPG,5,0.36681659170414793,0.2936,0.1469670221029588,0.2751955120976991,24.13458262350937,11.093621106523262,22.277342419080068,8.953185898960898,32.84445255546124,4,3,2,2,2,4
T1 F2 (10-18) exp 1.JPG,7,0.650005950255861,0.5462,0.27098767254016504,0.3274466217138511,21.725407583806557,13.521982035275888,24.31288905162944,8.118856549745825,32.60536625648242,4,5,2,3,4,2
T1 G1 (1-8) exp 1.JPG,1,0.5164835164835165,0.4324,0.21698534079362927,0.31286370506729944,24.843200740055504,13.008337983782324,19.15286771507863,7.112352520875607,31.36904468934296,4,4,2,3,4,5
T1 G1 (1-8) exp 1.JPG,3,0.611319340329835,0.4893,0.24255208702012696,0.3189241964731041,23.24897792313982,12.89740909102151,21.779276517473942,7.804525020708832,31.856739633792323,5,3,2,2,4,4
T1 G1 (1-8) exp 1.JPG,5,0.5738581146744413,0.4724,0.23596683563204843,0.31976618471572904,23.66186745712471,11.953355268115745,18.47311600338696,5.647296074165641,30.018993761169423,5,4,2,3,4,4
T1 G2 (9-16) exp 1.JPG,3,0.49412334908518113,0.4078,0.20672943064108917,0.3095483172227563,30.30308974987739,17.875073135379946,24.204512015693968,7.987721035537436,38.78318772750633,5,4,3,3,3,5
T1 G2 (9-16) exp 1.JPG,4,0.5833129733691669,0.4775,0.23982738646667415,0.3213915076228043,20.78948470883955,10.518436266575266,20.02848167539267,8.93089380671593,28.867676606900897,5,4,3,3,4,4
T1 G2 (9-16) exp 1.JPG,6,0.5903307888040712,0.4872,0.2444756366553038,0.3217226934061538,17.170566502463053,8.956348933263975,20.069390268938616,9.480712747694154,26.412284637692256,4,4,2,3,4,1
T1 Gul 2 (17-24).JPG,3,0.4014457831325301,0.3332,0.16335823718554945,0.2839891289828425,18.21239470517449,9.080831846317997,25.08823529411765,7.831050235196636,31.00178819149112,1,1,0,0,3,2
T1 Gul 5 (9-16).JPG,1,0.3499576322479119,0.2891,0.14450915485062515,0.27489687241223193,18.259233449477353,10.555496781506134,26.479584775086504,7.141992770035703,32.16470139801558,2,1,0,0,2,2
T1 Gul 6 (25-30).JPG,5,0.3599895806199531,0.2764,0.1363359995277589,0.26737118623940725,18.397314949201743,11.44358821449868,32.55302207745204,10.276083612637512,37.39198368253819,2,1,0,0,2,2
T1 H2 (9-16) exp 1.JPG,7,0.46653639472398634,0.382,0.19061224088230375,0.2998938344263698,28.827748691099476,14.422465193629389,24.88586387434555,9.243396350161657,38.08339947233761,5,5,3,4,3,5
T1 H3 (17-25) exp 1.JPG,3,0.42678027997565426,0.3506,0.17443030202847895,0.2932700399147342,33.83884768967484,14.99853528639421,22.242796005706133,5.891999474108443,40.49456243888146,4,3,2,2,3,5
T1 I1 (1-8) exp 1.JPG,1,0.7474878827284549,0.6323,0.3176804221838871,0.3358556909350618,25.636881227265537,11.334254701456222,20.177131108650958,8.106982882839093,32.624627183105254,5,3,4,4,5,5
T1 I1 (1-8) exp 2.JPG,4,0.6463697376449055,0.5297,0.2599421832590508,0.3225185612473835,22.131017557107796,8.721749873951085,21.76680513595166,7.853129299384018,31.041516456827704,4,3,2,2,4,4
T1 I3 (17-25) exp 2.JPG,9,0.4184263300696001,0.3547,0.17527406439409549,0.2914881907557301,24.89568649563011,10.904503897235392,22.088832487309645,7.874634930373618,33.28230350713612,4,4,2,3,3,4
T2 B3 (17-25) exp 1.JPG,9,0.8350983358547656,0.7176,0.3582946038570031,0.332832514128099,23.312848383500558,8.879886076130791,26.329570791527313,7.830239359192418,35.16724609374656,5,4,3,3,5,2
T2 D3 (17-25) exp 2.JPG,4,0.46274181991879626,0.3875,0.19303455649393325,0.3012304795089518,19.64042333505421,9.197288517984454,23.945276200309756,8.733778363364756,30.969702631592423,5,4,4,4,3,2
T2 F3 (17-25) exp 2.JPG,2,0.6731758652946679,0.5757,0.2891641899381063,0.3302753227544632,18.064616988014592,7.741681954134703,21.729199235713043,7.8168946876851075,28.257538575554978,4,3,3,3,5,1
T2 I1 (1-8) exp 2.JPG,4,0.7034572888202447,0.5921,0.2925932903185293,0.3303179348442869,22.76841216216216,9.646290887391713,27.17162162162162,9.408446036928881,35.449931085048235,4,4,3,3,5,2
T3 E1 (1-8) exp 2.JPG,2,0.13538236370289058,0.111,0.05468939050767821,0.18142908717921927,23.95765765765766,5.5655803474141345,9.554553651938683,3.1912229585532272,25.792612429323587,4,3,3,3,1,3
T3 E3 (17-25) exp 1.JPG,9,0.31646655231560894,0.2583,0.12904124137117234,0.2649042493824318,19.99341850561363,6.523755337746297,22.928377855207124,7.485015354689359,30.421165240860944,2,1,0,0,2,1
T3 H3 (17-25) exp 1.JPG,9,0.3853824957354678,0.2937,0.14912254852847862,0.2790677026095577,19.209056860742255,6.357835845519938,19.336057201225742,6.348501938375389,27.25565947777274,4,5,3,4,2,0
T4 Gul 3 (1-8).JPG,5,0.3984121255864309,0.3312,0.16386815883709818,0.28634527840470847,19.33736762481089,7.501907676665252,22.31652068861371,7.864840698592389,29.52898376684183,3,1,0,0,3,1
